name,brand,seller,url
Lavarropas automático Siam Lsi-lf6510b2 carga frontal 6.5 Kg 1000 Rpm blanco,Siam,Tienda oficial Siam,https://www.mercadolibre.com.ar/lavarropas-automatico-siam-lsi-lf6510b2-carga-frontal-65-kg-1000-rpm-blanco/p/MLA41168226?pdp_filters=item_id%3AMLA1478798915#polycard_client=wishlist&wid=MLA1478798915&sid=bookmarks
Mochila Wilson Porta Notebook Reforzada Original Puerto Usb Oficina De Viaje Unisex Color Negro 65.11110BL 40 Litros,Wilson,Tienda oficial AJAXGOLD,https://www.mercadolibre.com.ar/mochila-wilson-porta-notebook-reforzada-original-puerto-usb-oficina-de-viaje-unisex-color-negro-6511110bl-40-litros/p/MLA36965598?pdp_filters=item_id%3AMLA1427118913#polycard_client=wishlist&wid=MLA1427118913&sid=bookmarks
Samsung Galaxy A15 128 GB amarillo 6 GB RAM,Samsung,Goba,https://www.mercadolibre.com.ar/samsung-galaxy-a15-128-gb-amarillo-6-gb-ram/p/MLA33303119#polycard_client=search_best-seller-categories&tracking_id=09681a00-8b8a-4720-9360-d7475277e12d&wid=MLA2030683540&sid=search
Celular Moto G15 4 + 128 Gb Verde,Motorola,Tienda oficial Mercado Libre,https://www.mercadolibre.com.ar/celular-moto-g15-4-128-gb-verde/p/MLA46255802#polycard_client=search-nordic&searchVariation=MLA46255802&wid=MLA2021354154&position=24&search_layout=stack&type=product&tracking_id=0bcdf455-e971-4cba-a622-175612eaff53&sid=search
Smart Tv Noblex Roku 32 Pulgadas Led Hd,Noblex,Tienda oficial Mercado Libre,https://www.mercadolibre.com.ar/smart-tv-noblex-roku-32-pulgadas-led-hd/p/MLA47671555#polycard_client=search_best-seller-categories&tracking_id=8f969085-5951-4d57-9a7e-d59f79d95a7d&wid=MLA2054562178&sid=search
Smart TV Samsung 50" Crystal UHD 4K UN50DU7000,Samsung,Tienda oficial Mercado Libre,https://www.mercadolibre.com.ar/smart-tv-samsung-50-crystal-uhd-4k-un50du7000/p/MLA46526613#polycard_client=search_best-seller-categories&tracking_id=8f969085-5951-4d57-9a7e-d59f79d95a7d&wid=MLA1480866703&sid=search
Smart Tv Philips 55 4k Uhd Ambilight Y Google Tv Dolby Atmo,Philips,Galaxy Star,https://www.mercadolibre.com.ar/smart-tv-philips-55--4k-uhd-ambilight-y-google-tv-dolby-atmo/up/MLAU3241020498?pdp_filters=item_id:MLA2116934136#polycard_client=recommendations_pdp-pads-up&reco_backend=pdp_pads_up_merge_rars_v2_with_default&reco_client=pdp-pads-up&reco_item_pos=0&reco_backend_type=low_level&reco_id=07c668b9-7cc0-42b2-97af-22f4f5f02361&wid=MLA2116934136&sid=recos&is_advertising=true&ad_domain=PDPDESKTOP_UP&ad_position=1&ad_click_id=OTVkZTBhMjQtODM3ZS00YzljLWE0NWUtNjg1NGFmZTk3NDQ4
Smart TV Samsung 50" Crystal UHD 4K UN50DU7000,Samsung,Tienda oficial Mercado Libre,https://www.mercadolibre.com.ar/smart-tv-samsung-50-crystal-uhd-4k-un50du7000/p/MLA46526613#polycard_client=search_best-seller-categories&tracking_id=8f969085-5951-4d57-9a7e-d59f79d95a7d&wid=MLA1480866703&sid=search
Smart Tv Noblex Roku 32 Pulgadas Led Hd,Noblex,Tienda oficial Mercado Libre,https://www.mercadolibre.com.ar/smart-tv-noblex-roku-32-pulgadas-led-hd/p/MLA47671555#polycard_client=search_best-seller-categories&tracking_id=8f969085-5951-4d57-9a7e-d59f79d95a7d&wid=MLA2054562178&sid=search
Parlante Mti M3628 Portátil Inalámbrico 8 Pulgadas Bluetooth,Mti,ONE SHOP ARGENTINA,https://articulo.mercadolibre.com.ar/MLA-1804469462-parlante-mti-m3628-portatil-inalambrico-8-pulgadas-bluetooth-_JM#polycard_client=recommendations_pdp-p2p&reco_backend=ranker_compl&reco_model=retrieval-ranker-complementarios&reco_client=pdp-p2p&reco_item_pos=1&reco_backend_type=low_level&reco_id=f405c17a-f838-4d2d-b7f0-8f3d4d8cbb15
Xiaomi Redmi Note 13 4G Dual SIM 128 GB Verde 6 GB RAM,Xiaomi,MADCOMARGENTINA,https://www.mercadolibre.com.ar/xiaomi-redmi-note-13-4g-dual-sim-128-gb-verde-6-gb-ram/p/MLA30935710?pdp_filters=item_id:MLA2117192708#polycard_client=recommendations_pdp-pads-up&reco_backend=pdp_pads_up_merge_rars_v2_with_default&wid=MLA2117192708&reco_client=pdp-pads-up&reco_item_pos=1&reco_backend_type=low_level&reco_id=d3dcb0d8-0f9e-4d13-bfe2-e650b15e9c9d&sid=recos&is_advertising=true&ad_domain=PDPDESKTOP_UP&ad_position=2&ad_click_id=ODc4MTc1NjEtOTFkNi00N2IxLThjOWItMjU1MDVlOTM5Yjkx
Celular Moto G15 4 + 128 Gb Verde,Motorola,Tienda oficial Mercado Libre,https://www.mercadolibre.com.ar/celular-moto-g15-4-128-gb-verde/p/MLA46255802#polycard_client=search-nordic&searchVariation=MLA46255802&wid=MLA2021354154&position=24&search_layout=stack&type=product&tracking_id=0bcdf455-e971-4cba-a622-175612eaff53&sid=search
Auriculares Inalámbricos Lenovo Livepod Lp75 Bluetooth Negro,Lenovo,IVMACO,https://www.mercadolibre.com.ar/auriculares-inalambricos-lenovo-livepod-lp75-bluetooth-negro/p/MLA28026305#polycard_client=search_best-seller-categories&tracking_id=8afbee1f-6ee9-4647-b321-4922ea161fa9&wid=MLA1281087020&sid=search
Auriculares Vincha Inalámbricos Bluetooth Jbl Tune 520bt Negro,Jbl,frogkid,https://www.mercadolibre.com.ar/auriculares-vincha-inalambricos-bluetooth-jbl-tune-520bt-negro/p/MLA40871018#polycard_client=search_best-seller-categories&tracking_id=8afbee1f-6ee9-4647-b321-4922ea161fa9&wid=MLA2050959290&sid=search
Monitor Gamer Gigabyte 25 200hz 1ms Fhd Ips G Sync Freesync HDR Hdmi Display Port Gs25f2,Gigabyte,DaleClick,https://www.mercadolibre.com.ar/monitor-gamer-gigabyte-25-200hz-1ms-fhd-ips-g-sync-freesync-hdr-hdmi-display-port-gs25f2/p/MLA48937106#polycard_client=search_best-seller-categories&tracking_id=7b66a379-0718-4e65-897a-a673bcc45cd5&wid=MLA1506792959&sid=search
Monitor 27 Gamer Curvo Samsung D366 100hz Fhd Ls27d366galx Color Negro,Samsung,IMPORTADORAFOTOGRAFICA,https://www.mercadolibre.com.ar/monitor-27-gamer-curvo-samsung-d366-100hz-fhd-ls27d366galx-color-negro/p/MLA45475700#polycard_client=search_best-seller-categories&tracking_id=7b66a379-0718-4e65-897a-a673bcc45cd5&wid=MLA2021836736&sid=search
interno Western Digital WD Green WDS480G2G0A 480GB verde,Western Digital,ETECSI Tu partner tecnologico,https://www.mercadolibre.com.ar/interno-western-digital-wd-green-wds480g2g0a-480gb-verde/p/MLA12451965#polycard_client=recommendations_home_second-crosselling-function-recommendations&reco_backend=second_crosselling_function&wid=MLA1506147505&reco_client=home_second-crosselling-function-recommendations&reco_item_pos=4&reco_backend_type=function&reco_id=13ba9a73-d4b6-4eb7-9dc8-dc9644c2cec5&sid=recos&c_id=/home/second-crosselling-function-recommendations/element&c_uid=a3421bfe-9c38-41d2-9cb9-d2d3c3b567f6
Genio S Nescafé® Dolce Gusto® Blanca,Nescafe,Dolce Gusto,https://articulo.mercadolibre.com.ar/MLA-1396831691-genio-s-nescafe-dolce-gusto-blanca-_JM#polycard_client=recommendations_home-deals&reco_backend=deals-model-odin&reco_client=home-deals&reco_item_pos=23&reco_backend_type=low_level&reco_id=85a863ec-6afb-4893-9ca1-85f164cf4e6f&c_id=/home/promotions-recommendations/element&c_uid=ee8aac23-88b5-4137-b264-b9df64a9e66e
Samsung Galaxy Tab A9 64gb 4gb Ram Color Gris 8.7",Samsung,Tienda oficial Mercado Libre,https://www.mercadolibre.com.ar/samsung-galaxy-tab-a9-64gb-4gb-ram-color-gris-87/p/MLA31043809#polycard_client=recommendations_home-deals&reco_backend=deals-model-odin&wid=MLA1699382944&reco_client=home-deals&reco_item_pos=16&reco_backend_type=low_level&reco_id=85a863ec-6afb-4893-9ca1-85f164cf4e6f&sid=recos&c_id=/home/promotions-recommendations/element&c_uid=2ce3555c-2157-4771-876a-9089a37fd330
Notebook Exo Smart T38 Intel N4020 4gb Ssd128gb Windows 11 Color Gris,Exo,Tienda oficial EXO,https://www.mercadolibre.com.ar/notebook-exo-smart-t38-intel-n4020-4gb-ssd128gb-windows-11-color-gris/p/MLA22826188#polycard_client=recommendations_home-deals&reco_backend=deals-model-odin&wid=MLA1424712885&reco_client=home-deals&reco_item_pos=13&reco_backend_type=low_level&reco_id=85a863ec-6afb-4893-9ca1-85f164cf4e6f&sid=recos&c_id=/home/promotions-recommendations/element&c_uid=8a149137-c70f-4973-92c3-1459e7fc8f2b
Campera Parka Hombre Negra Impermeable Importada Capucha,Parka,Tienda oficial Parka,https://articulo.mercadolibre.com.ar/MLA-851262957-campera-parka-hombre-negra-impermeable-importada-capucha-_JM#polycard_client=recommendations_home-deals&reco_backend=deals-model-odin&reco_client=home-deals&reco_item_pos=6&reco_backend_type=low_level&reco_id=85a863ec-6afb-4893-9ca1-85f164cf4e6f&c_id=/home/promotions-recommendations/element&c_uid=65c73ed0-5b44-4c88-bfaa-8ef14a31ada2
Convector Ch-p120bae1 2000w Negro Midea,Midea,Tienda oficial Midea Argentina,https://www.mercadolibre.com.ar/convector-ch-p120bae1-2000w-negro-midea/p/MLA21806031#polycard_client=recommendations_home-deals&reco_backend=deals-model-odin&wid=MLA1438339920&reco_client=home-deals&reco_item_pos=0&reco_backend_type=low_level&reco_id=85a863ec-6afb-4893-9ca1-85f164cf4e6f&sid=recos&c_id=/home/promotions-recommendations/element&c_uid=e2fa64a7-4272-4462-b3f0-4d34c146db11
